all	lv6	lv1	hh-203	hh-202	big-arc	orion-s	bar-ifront	sky-sw	sky-ne	wavelength
1.609665e+06	2.168333e+06	4.110303e+06	2.277174e+06	1.068145e+06	1.200379e+06	1.757675e+06	1.840340e+06	2.832554e+05	1.871683e+05	4715.70
1.568879e+06	1.979367e+06	3.896800e+06	2.185996e+06	9.906827e+05	1.084104e+06	1.583520e+06	1.747952e+06	2.687715e+05	1.928843e+05	4716.55
1.561611e+06	1.942648e+06	3.931966e+06	2.204175e+06	9.800360e+05	1.061034e+06	1.543188e+06	1.733936e+06	2.657405e+05	1.944475e+05	4717.40
1.571184e+06	1.938960e+06	3.885004e+06	2.212314e+06	9.739273e+05	1.053163e+06	1.534145e+06	1.729433e+06	2.616687e+05	1.905357e+05	4718.25
1.567751e+06	1.937785e+06	3.877284e+06	2.186721e+06	9.583373e+05	1.057705e+06	1.532737e+06	1.726899e+06	2.641089e+05	1.894145e+05	4719.10
1.547289e+06	1.927614e+06	3.889591e+06	2.183400e+06	9.503209e+05	1.051374e+06	1.526565e+06	1.736424e+06	2.623660e+05	1.914865e+05	4719.95
1.556999e+06	1.935079e+06	3.853732e+06	2.184396e+06	9.504079e+05	1.049139e+06	1.530349e+06	1.725516e+06	2.589526e+05	1.904542e+05	4720.80
1.558190e+06	1.939633e+06	3.863402e+06	2.200712e+06	9.475096e+05	1.050774e+06	1.525660e+06	1.746258e+06	2.579276e+05	1.920270e+05	4721.65
1.557890e+06	1.931547e+06	3.857390e+06	2.190138e+06	9.377829e+05	1.056796e+06	1.524595e+06	1.734298e+06	2.613289e+05	1.900342e+05	4722.50
1.548360e+06	1.930110e+06	3.839494e+06	2.204585e+06	9.339226e+05	1.053996e+06	1.524537e+06	1.734238e+06	2.655141e+05	1.867196e+05	4723.35
1.544910e+06	1.926245e+06	3.859234e+06	2.204050e+06	9.505624e+05	1.046707e+06	1.528299e+06	1.731220e+06	2.616173e+05	1.887667e+05	4724.20
